,,left_side,right_side,similarity
24,124,"Kimpton Hotel Vintage Seattle 1100 5th Ave, Seattle, WA 98101_0","W Seattle 1112 4th Ave, Seattle, WA 98101_0",0.104653029
25,125,"Hyatt Place Seattle 110 6th Ave N, Seattle, WA 98109_0","Hyatt Place Seattle 110 6th Ave N, Seattle, WA 98109_0",1
25,126,"Hyatt Place Seattle 110 6th Ave N, Seattle, WA 98109_0","Travelodge Seattle by The Space Needle 200 6th Ave N, Seattle, WA 98109_0",0.198883783
25,127,"Hyatt Place Seattle 110 6th Ave N, Seattle, WA 98109_0","Crowne Plaza Seattle Downtown 1113 6th Ave, Seattle, WA 98101_0",0.155014772
25,128,"Hyatt Place Seattle 110 6th Ave N, Seattle, WA 98109_0","Inn at the WAC 1325 6th Ave, Seattle, WA 98101_0",0.148661114
25,129,"Hyatt Place Seattle 110 6th Ave N, Seattle, WA 98109_0","Hyatt House Seattle 201 5th Ave N, Seattle, WA 98109_0",0.126162532
26,130,"Hyatt House Seattle 201 5th Ave N, Seattle, WA 98109_0","Hyatt House Seattle 201 5th Ave N, Seattle, WA 98109_0",1
26,131,"Hyatt House Seattle 201 5th Ave N, Seattle, WA 98109_0","Kings Inn 2106 5th Ave, Seattle, WA 98121_0",0.185066029
26,132,"Hyatt House Seattle 201 5th Ave N, Seattle, WA 98109_0","Kimpton Hotel Vintage Seattle 1100 5th Ave, Seattle, WA 98101_0",0.15878991
26,133,"Hyatt House Seattle 201 5th Ave N, Seattle, WA 98109_0","Hotel Five - A Staypineapple Hotel 2200 5th Ave, Seattle, WA 98121_0",0.154991968
26,134,"Hyatt House Seattle 201 5th Ave N, Seattle, WA 98109_0","Hyatt Place Seattle 110 6th Ave N, Seattle, WA 98109_0",0.126162532
27,135,"Inn at the Market 86 Pine St, Seattle, WA 98101_0","Inn at the Market 86 Pine St, Seattle, WA 98101_0",1
27,136,"Inn at the Market 86 Pine St, Seattle, WA 98101_0","Palihotel Seattle 107 Pine St, Seattle, WA 98101_0",0.265927506
27,137,"Inn at the Market 86 Pine St, Seattle, WA 98101_0","Gand Hyatt Seattle 721 Pine St, Seattle, WA 98101_0",0.240826138
27,138,"Inn at the Market 86 Pine St, Seattle, WA 98101_0","Inn at the WAC 1325 6th Ave, Seattle, WA 98101_0",0.187592152
27,139,"Inn at the Market 86 Pine St, Seattle, WA 98101_0","Hotel Seattle 316 Seneca St, Seattle, WA 98101_0",0.110395373
28,140,"Ace Hotel Seattle 2423 1st Ave, Seattle, WA 98121_0","Ace Hotel Seattle 2423 1st Ave, Seattle, WA 98121_0",1
28,141,"Ace Hotel Seattle 2423 1st Ave, Seattle, WA 98121_0","Ace Hotel Seattle 2423 1st Ave, Seattle, WA 98121_0",1
28,142,"Ace Hotel Seattle 2423 1st Ave, Seattle, WA 98121_0","The Inn at El Gaucho 2505 1st Ave, Seattle, WA 98121_0",0.192123062
28,143,"Ace Hotel Seattle 2423 1st Ave, Seattle, WA 98121_0","Kimpton Alexis Hotel 1007 1st Ave, Seattle, WA 98104_0",0.148948907
28,144,"Ace Hotel Seattle 2423 1st Ave, Seattle, WA 98121_0","Silver Cloud Hotel - Seattle Stadium 1046 1st Ave S, Seattle, WA 98134_0",0.146335652
29,145,"Moxy Seattle Downtown 1016 Republican St, Seattle, WA 98109_0","Moxy Seattle Downtown 1016 Republican St, Seattle, WA 98109_0",1
29,146,"Moxy Seattle Downtown 1016 Republican St, Seattle, WA 98109_0","Staybridge Suites Seattle Downtown - Lake Union 1119 Mercer St, Seattle, WA 98109_0",0.134648109
29,147,"Moxy Seattle Downtown 1016 Republican St, Seattle, WA 98109_0","Quality Inn & Suites Seattle Center 618 John St, Seattle, WA 98109_0",0.111385923
29,148,"Moxy Seattle Downtown 1016 Republican St, Seattle, WA 98109_0","Four Points by Sheraton Downtown Seattle Center 601 Roy St, Seattle, WA 98109_0",0.10878899
29,149,"Moxy Seattle Downtown 1016 Republican St, Seattle, WA 98109_0","The Maxwell Hotel - A Staypineapple Hotel 300 Roy St, Seattle, WA 98109_0",0.104265449
30,150,"Thompson Seattle 110 Stewart St, Seattle, WA 98101_0","Thompson Seattle 110 Stewart St, Seattle, WA 98101_0",1
30,151,"Thompson Seattle 110 Stewart St, Seattle, WA 98101_0","Hotel Max 620 Stewart St, Seattle, WA 98101_0",0.305328467
30,152,"Thompson Seattle 110 Stewart St, Seattle, WA 98101_0","Pike's Place Lux Suites by Barsala 2nd Ave and Stewart St, Seattle, WA 98101_A",0.153730361
30,153,"Thompson Seattle 110 Stewart St, Seattle, WA 98101_0","Pike's Place Lux Suites by Barsala 2rd Ave and Stewart St, Seattle, WA 98101_a",0.151837479
30,154,"Thompson Seattle 110 Stewart St, Seattle, WA 98101_0","Hotel Seattle 316 Seneca St, Seattle, WA 98101_0",0.134566488
