uniqueid,suffix,name,address,city,state,partner
1621,A,Promenade Apartments,132nd Ave SE at SE 312th St,Auburn,WA,"DevCo, Inc."
1622,A,S.E. Payne Cornerstone,92 Clark St,Auburn,NY,Housing Visions Unlimited
1623,A,Shepherd's Cove,1330 Shug Jordan Parkway,Auburn,AL,"Bennett & Company, LLC"
1624,A,White River Garden,205 East Main St.,Auburn,WA,Low Income Housing Institute
1625,A,Cedarwood Apartments,527 Richmond Hill Rd,Augusta,GA,Progressive Redevelopment Inc
1626,A,Cedarwood Apartments,527 Richmond Hill Rd,Augusta,GA,Progressive Redevelopment Inc
1627,A,Cedarwood Apartments,527 Richmond Hill Road West,Augusta,GA,Progressive Redevelopment Inc
1628,A,Cedarwood Apartments,527 Richmond Hills Road West,Augusta,GA,Progressive Redevelopment Inc
1629,A,Cedarwoods,527 Richmond Hill Rd,Augusta,GA,Progressive Redevelopment Inc
1630,A,Cedarwoods - SUB LOAN,527 Richmond Hill Rd,Augusta,GA,Progressive Redevelopment Inc
1631,A,Foreclosure Redevelopment,266 Deerfield,Augusta,GA,Atlanta Neighborhood Development Partnership
1632,A,1042 Yuba Street,1042 Yuba Street,Aurora,CO,Neighborhood Partners
1633,A,10913 Parker vista Way,10913 Parker vista Way,Aurora,CO,Mercy Housing
1634,A,"1181 S. Zeno Way, Unit A","1181 S. Zeno Way, Unit A",Aurora,CO,Mercy Housing
1635,A,14330 East 47th Ave,14330 East 47th Ave,Aurora,CO,Mercy Housing
1636,A,14701 E. 18th Place Aurora,14701 E. 18th Place Aurora,Aurora,CO,Habitat for Humanity Metro Denver
1637,A,15038 E Carolina Pl,15038 E Carolina Pl,Aurora,CO,Mercy Housing
1638,A,1601 Boston,1601 Boston,Aurora,CO,Habitat for Humanity Metro Denver
1639,A,1632 S. Idalia Cir,1632 S. Idalia Cir,Aurora,CO,Mercy Housing
1640,A,18943 E. Carmel,18943 E. Carmel,Aurora,CO,Neighborhood Partners
1641,A,19174 E Hampden,19174 E Hampden,Aurora,CO,Mercy Housing
1642,A,4655 S. Dillon Ct. Unit G,4655 S. Dillon Ct. Unit G,Aurora,CO,Mercy Housing
1643,A,"4676 S. Dillon Ct, Unit G","4676 S. Dillon Ct, Unit G",Aurora,CO,Mercy Housing
1644,A,5704 N. Gibralter Way,5704 N. Gibralter Way,Aurora,CO,Mercy Housing
1645,A,5713 S.Yakima Way,5713 S.Yakima Way,Aurora,CO,Mercy Housing
1646,A,FLETCHER GARDEN APTS,1401 EMPORIA ST,AURORA,CO,Aurora Housing Corporation
1647,A,New Town Tollgate,,Aurora,CO,Mile High Housing Fund
1648,A,"Plaza Townhomes at Macon and Moline, LLLP",1431 Moline Street,Aurora,CO,Housing Authority of the City of Aurora
1649,A,Providence at the Heights,15602 E. Alameda Parkway,Aurora,CO,Second Chance Center (SCC)
1650,A,RESIDENCES AT FIRST AVENUE,101 KENTON ST,AURORA,CO,Aurora Housing Corporation
1651,A,RESIDENCES AT TROLLEY PARK,1445 DALLAS ST,AURORA,CO,Aurora Housing Corporation
1652,A,Summersong Townhomes LLLP,10024 East Evans St. 1,Aurora,CO,Housing Authority of the City of Aurora
1653,A,The Village at Westerly Creek,850 South Ironton St.,Aurora,CO,Aurora Housing Authority
1654,A,Tollgate Crossing,E-470 and Quincy,Aurora,CO,Habitat for Humanity Metro Denver
1655,A,TOWNHOMES AT TOLLGATE CREEK,17236 E BALTIC PL,AURORA,CO,Aurora Housing Corporation
1656,A,Village at Westerly Creek 2,10727 E. Kentucky Ave.,Aurora,CO,Aurora Housing Authority
1657,A,Village at Westerly Creek 3,850 S. Ironton St.,Aurora,CO,
1658,A,Foreclosure Redevelopment,2817 Marksman Trl,Austell,GA,Atlanta Neighborhood Development Partnership
1659,A,Gordon Manor Subdivision,6750 Gordon Manor Court,Austell,GA,Cobb Housing
1660,A,Gordon Manor Subdivision,6755 Gordon Manor Court,Austell,GA,Cobb Housing
1661,A,Gordon Manor Subdivision,6760 Gordon Manor Court,Austell,GA,Cobb Housing
1662,A,Gordon Manor Subdivision,6765 Gordon Manor Court,Austell,GA,Cobb Housing
1663,A,Gordon Manor Subdivision,6770 Gordon Manor Court,Austell,GA,Cobb Housing
1664,A,Gordon Manor Subdivision,6785 Gordon Manor Court,Austell,GA,Cobb Housing
1665,A,Progressive Grove/Hunter's Grove,575 Six Flags Dr,Austell,GA,Cornerstone Housing Corp
1666,A,Progressive Grove/Hunter's Grove,575 Six Flags Dr,Austell,GA,Cornerstone Housing Corp
1667,A,22nd Street Project,22nd & Leona,Austin,TX,Blackland CDC
1668,A,Anderson Hill Neigh.,Various,Austin,TX,Austin Hsg Finance
1669,A,Austin HUD 811 Project,7685 Northcross Drive,Austin,TX,United Cerebral Palsy of Texas
1670,A,Blackland Community Development Corporation 5-unit rehabilitation project,"2008 A&B Chicon, 2012-A&B Chicon, 2201 Salina Street",Austin,TX,City of Austin Neighbrohood Housing (HOME funds) matched with Blackland funds
