name,address
Foreclosure Redevelopment,2061 Appaloosa Way
Foreclosure Redevelopment,2697 Morris Street
Foreclosure Redevelopment,3485 Spring Circle
Foreclosure Redevelopment,3947 Fennel Circle
Foreclosure Redevelopment,6215 Havana Street
Foreclosure Redevelopment,6584 Snowbird Lane
Foreclosure Redevelopment,892 Spencer Street
Foreclosure Redevelopment,108 Bisbee Avenue
Foreclosure Redevelopment,1850 Grove Avenue
Foreclosure Redevelopment,1992 Morris Drive
Foreclosure Redevelopment,2463 Jewel Street
Foreclosure Redevelopment,2941 Trickum Road
Foreclosure Redevelopment,410 Pomona Circle
Foreclosure Redevelopment,43 Finch Drive SE
Foreclosure Redevelopment,461 Pomona Circle
Foreclosure Redevelopment,5279 Orly Terrace
Foreclosure Redevelopment,1900 Meadow Lane
Foreclosure Redevelopment,1936 Meadow Lane
Foreclosure Redevelopment,7845 Dogwood Way
Foreclosure Redevelopment,2459 Susan Lane
Foreclosure Redevelopment,3197 Dale Lane 
Foreclosure Redevelopment,998 Wayne Drive
Foreclosure Redevelopment,620 Iris Road
Foreclosure Redevelopment,67 Holly Road
Forest Park X,8333 Forest Point Blvd
Forest Ridge Apartments,100 Ashewood Circle
Fountainhead 29 Palms,73690 Twentynine Palms Highway
Fountainhead Garden Grove,10801 Garden Grove Blvd
Fountainhead Santa Ana,1230 E McFadden Ave
Fox School,10 E. Main St.
Freedom Village at Robbinsville,Route 33 and North Commerce Square
Friendship House,1010 Cumberland Ave
Futura Business Park,9445-9465 Farnham Street
Gage Crossing,5927 Avery Woods Avenue
Gainesville VA Senior Living,7717 James Madison Highway
Garfield Villas Refinance,5150-5200 East 88th Street
Garrett County MD/Chataugua Park West,104 East Center St
Gateway,3500 Walden Street
Gateway Lakes Apartments,3799 Gateway Lakes Drive
Georgian Terrace and Chestnut Hill (Marietta Portfolio),246 Chestnut Hill Rd SW
Georgian Terrace and Chestnut Hill (Marietta Portfolio),1565 Austell Rd SE
German Corner MHC - Supplemental,11516 East 113th Place
Germantown Square SC Refinance,1227-1265 Goss Avenue
Giant Eagle - North Ridgeville,34259-34373 Center Ridge Road
Glacier Village,9107 Mendenhall Mall Road
Glendale,"71-15 65th Street
71-21 65th Street
71-27 65th Street"
Global Drive Retail Center (Acquisition),7001 Global Drive
Global Drive Retail Center (Refi),7001 Global Drive
Go Store It - Okatie,5 Stockade Dr
GOJO Wooster Manufacturing,1147 Akron Road
Golden Key Apartments,3430 Albermarle
Golden Key Apartments,3430 Albermarle
Golf View MHC - Bridge Loan,265 Golfview Court
Golfview Manufactured Housing Community,1 Golfview Court
Gordon Square,5245-5333 Beach Blvd
Govans Ecumenical Development Corporation,1010 E 33rd Street
Grafton MHP (Reynolds Crossed Portfolio II),1590 Stewart Dr
Grand Pre Apartments-Refinance,215 County Road B2 E
Grand Villa MHC,2526 W Grand St
Grant Street,702-04 Grant Street
Grant Street,917 Grant Street 
Green Industrial Portfolio II,"5791 Creek Rd, 11430, 11472 & 11574 Gondola St., 4483 N. Route 42,"
Green Road Office Building,3637 Green Road
Greydon House (GOP Portfolio),5284 Avery Road
Greyhound Village Supplemental,3701 Shelby Street
Groesbeck Gardens,5850 Pameleen Court
Grove at St. Andrews,716 Zimalecrest Drive
